"year","price","transmission","mileage","tax","mpg","engineSize"
"2019","49998","Semi-Auto","83","145","52.3","3.0"
"2016","31998","Semi-Auto","14633","200","47.9","3.0"
"2019","23498","Semi-Auto","5800","150","65.7","1.5"
"2017","18498","Semi-Auto","20618","30","64.2","2.1"
"2015","27998","Semi-Auto","17168","200","48.7","3.0"
"2019","24998","Semi-Auto","15536","145","47.1","1.5"
"2019","24998","Semi-Auto","16103","145","47.1","1.5"
"2019","21998","Semi-Auto","14576","145","46.3","1.5"
"2018","29498","Semi-Auto","6198","145","54.3","2.0"
"2019","24498","Semi-Auto","15316","145","72.4","2.0"
"2015","28498","Semi-Auto","15293","200","48.7","3.0"
"2016","20998","Semi-Auto","16843","145","54.3","3.0"
"2016","19998","Semi-Auto","18718","145","54.3","3.0"
"2016","20298","Semi-Auto","26707","145","54.3","3.0"
"2016","19498","Semi-Auto","36107","160","51.4","3.0"
"2016","19498","Semi-Auto","24756","30","64.2","2.1"
"2017","20998","Semi-Auto","29816","145","61.4","2.0"
"2016","21498","Semi-Auto","29833","160","51.4","3.0"
"2016","19698","Semi-Auto","42334","30","65.7","2.0"
"2015","31998","Semi-Auto","36281","330","36.2","3.0"
"2015","19498","Semi-Auto","22877","150","54.3","3.0"
"2016","30998","Semi-Auto","19574","240","42.8","3.0"
"2014","15998","Semi-Auto","42514","30","62.8","2.1"
"2016","17998","Semi-Auto","36587","0","134.5","2.0"
"2015","14298","Semi-Auto","21624","145","56.5","2.0"
"2017","15498","Manual","47412","20","68.9","1.5"
"2016","21500","Semi-Auto","23349","125","56.5","2.1"
"2016","14698","Manual","19864","20","70.6","2.1"
"2016","13998","Manual","22117","125","53.3","2.0"
"2015","14698","Semi-Auto","43331","20","64.2","2.1"
"2019","18498","Manual","2810","145","28.5","1.3"
"2014","9998","Manual","24510","30","61.4","1.5"
"2017","34998","Semi-Auto","16647","205","47.9","2.1"
"2014","10498","Semi-Auto","51929","145","53.3","2.1"
"2016","14998","Manual","24569","20","68.9","1.5"
"2014","14998","Semi-Auto","64001","145","55.4","2.1"
"2018","19998","Semi-Auto","6340","145","53.3","1.3"
"2016","19698","Automatic","25107","0","134.5","2.0"
"2018","17498","Semi-Auto","15597","145","68.9","2.1"
"2017","22498","Semi-Auto","20491","135","74.3","2.1"
"2015","11998","Manual","52792","20","72.4","1.6"
"2018","32498","Semi-Auto","12517","145","45.6","3.0"
"2016","16298","Semi-Auto","29201","30","64.2","1.6"
"2013","11998","Manual","13680","125","51.4","1.6"
"2016","20998","Semi-Auto","37045","125","56.5","2.1"
"2018","21498","Semi-Auto","25454","150","72.4","2.0"
"2017","25498","Semi-Auto","17967","150","56.5","2.1"
"2014","16995","Semi-Auto","37208","30","62.8","2.1"
"2017","28500","Semi-Auto","28297","200","47.9","2.1"
"2016","13900","Manual","16349","20","72.4","1.5"
"2015","18498","Semi-Auto","18982","20","67.3","2.1"
"2017","31498","Semi-Auto","9949","205","47.9","2.1"
"2016","15698","Automatic","42062","125","50.4","2.0"
"2015","16998","Semi-Auto","43883","125","60.1","2.1"
"2015","17498","Semi-Auto","30154","125","55.4","2.1"
"2017","20998","Semi-Auto","42036","20","67.3","2.1"
"2016","20998","Semi-Auto","23429","0","122.8","2.0"
"2017","16498","Automatic","20764","150","58.9","2.1"
"2017","15998","Semi-Auto","21306","145","68.9","2.1"
"2013","11998","Semi-Auto","31706","145","53.3","2.1"
"2018","32498","Semi-Auto","9252","145","33.6","3.0"
"2017","19295","Automatic","39643","20","67.3","2.1"
"2017","21950","Automatic","26355","145","65.7","2.0"
"2019","24495","Semi-Auto","10000","145","61.4","2.0"
"2016","24995","Automatic","40343","125","56.5","2.1"
"2016","18990","Semi-Auto","26413","20","64.2","2.1"
"2018","27590","Semi-Auto","16776","145","56.5","2.1"
"2013","9495","Semi-Auto","82312","145","55.4","2.1"
"2017","22750","Semi-Auto","9000","145","56.5","2.1"
"2016","21595","Semi-Auto","21512","200","43.5","2.0"
"2015","12495","Semi-Auto","50374","20","65.7","2.1"
"2018","20498","Manual","23694","145","46.3","2.1"
"2018","19498","Manual","24164","145","46.3","2.1"
"2015","17498","Semi-Auto","42471","0","76.4","2.1"
"2016","16198","Manual","41974","20","68.9","2.1"
"2018","20498","Manual","23128","145","46.3","2.1"
"2016","30498","Semi-Auto","17624","200","47.9","3.0"
"2017","17998","Semi-Auto","16291","145","50.4","2.0"
"2018","19998","Manual","27222","145","46.3","2.1"
"2016","17998","Manual","21981","200","46.3","2.1"
"2018","20498","Manual","20138","145","46.3","2.1"
"2017","13498","Manual","35881","20","68.9","1.5"
"2017","29998","Semi-Auto","15626","265","42.8","3.0"
"2017","20998","Semi-Auto","40949","125","56.5","2.1"
"2017","21498","Semi-Auto","31750","145","61.4","2.0"
"2015","17498","Semi-Auto","25909","125","56.5","2.1"
"2014","10498","Manual","63177","30","64.2","2.1"
"2014","20498","Semi-Auto","45231","235","37.7","2.0"
"2016","16998","Semi-Auto","43014","30","64.2","2.1"
"2017","19698","Semi-Auto","25152","145","72.4","2.0"
"2017","25798","Semi-Auto","9676","145","65.7","2.1"
"2018","20498","Semi-Auto","7894","145","60.1","2.1"
"2015","13498","Manual","38438","20","70.6","2.1"
"2015","17998","Semi-Auto","34464","145","53.3","3.0"
"2016","18998","Semi-Auto","19696","125","56.5","2.1"
"2019","21998","Semi-Auto","7214","145","55.4","2.0"
"2019","40998","Semi-Auto","4001","145","47.9","2.9"
"2015","19698","Semi-Auto","44143","160","51.4","3.0"
"2019","23498","Semi-Auto","19204","150","61.4","2.0"
"2017","26998","Semi-Auto","47120","200","47.9","2.1"
"2016","20998","Semi-Auto","36240","125","56.5","2.1"
"2016","14498","Manual","21945","125","53.3","2.0"
"2017","20998","Semi-Auto","21929","30","65.7","2.0"
"2018","19998","Manual","27222","145","46.3","2.1"
"2016","17998","Manual","21981","200","46.3","2.1"
"2014","13998","Semi-Auto","29670","20","68.9","2.1"
"2019","29498","Semi-Auto","2195","145","61.4","2.0"
"2016","21998","Semi-Auto","27894","125","56.5","2.1"
"2019","21998","Semi-Auto","11578","150","53.3","1.3"
"2017","28998","Semi-Auto","18855","200","47.9","2.1"
"2015","12495","Automatic","55000","30","64.2","2.1"
"2017","19498","Semi-Auto","54028","150","65.7","2.0"
"2017","31298","Semi-Auto","12122","145","47.9","2.1"
